Asia,Afghanistan,6/8/2020,21003,,,39835428
Asia,Afghanistan,6/9/2020,21308,,,39835428
Asia,Afghanistan,6/10/2020,22228,,,39835428
Asia,Afghanistan,6/11/2020,22976,,,39835428
Asia,Afghanistan,6/12/2020,23632,,,39835428
Asia,Afghanistan,6/13/2020,24188,,,39835428
Asia,Afghanistan,6/14/2020,24852,,,39835428
Asia,Afghanistan,6/15/2020,25613,,,39835428
Asia,Afghanistan,6/16/2020,25719,,,39835428
Asia,Afghanistan,6/17/2020,26960,,,39835428
Asia,Afghanistan,6/18/2020,27423,,,39835428
Asia,Afghanistan,6/19/2020,27964,,,39835428
Asia,Afghanistan,6/20/2020,28383,,,39835428
Asia,Afghanistan,6/21/2020,28919,,,39835428
Asia,Afghanistan,6/22/2020,29229,,,39835428
Asia,Afghanistan,6/23/2020,29567,,,39835428
Asia,Afghanistan,6/24/2020,29726,,,39835428
Asia,Afghanistan,6/25/2020,30261,,,39835428
Asia,Afghanistan,6/26/2020,30346,,,39835428
Asia,Afghanistan,6/27/2020,30702,,,39835428
Asia,Afghanistan,6/28/2020,31053,,,39835428
Asia,Afghanistan,6/29/2020,31324,,,39835428
Asia,Afghanistan,6/30/2020,31445,,,39835428
Asia,Afghanistan,7/1/2020,31848,,,39835428
Asia,Afghanistan,7/2/2020,32108,,,39835428
Asia,Afghanistan,7/3/2020,32410,,,39835428
Asia,Afghanistan,7/4/2020,32758,,,39835428
Asia,Afghanistan,7/5/2020,33037,,,39835428
Asia,Afghanistan,7/6/2020,33150,,,39835428
Asia,Afghanistan,7/7/2020,33470,,,39835428
Asia,Afghanistan,7/8/2020,33680,,,39835428
Asia,Afghanistan,7/9/2020,33739,,,39835428
Asia,Afghanistan,7/10/2020,34280,,,39835428
Asia,Afghanistan,7/11/2020,34437,,,39835428
Asia,Afghanistan,7/12/2020,34537,,,39835428
Asia,Afghanistan,7/13/2020,34541,,,39835428
Asia,Afghanistan,7/14/2020,34826,,,39835428
Asia,Afghanistan,7/15/2020,35026,,,39835428
Asia,Afghanistan,7/16/2020,35156,,,39835428
Asia,Afghanistan,7/17/2020,35315,,,39835428
Asia,Afghanistan,7/18/2020,35375,,,39835428
Asia,Afghanistan,7/19/2020,35561,,,39835428
Asia,Afghanistan,7/20/2020,35595,,,39835428
Asia,Afghanistan,7/21/2020,35701,,,39835428
Asia,Afghanistan,7/22/2020,35813,,,39835428
Asia,Afghanistan,7/23/2020,36001,,,39835428
Asia,Afghanistan,7/24/2020,36067,,,39835428
Asia,Afghanistan,7/25/2020,36122,,,39835428
Asia,Afghanistan,7/26/2020,36243,,,39835428
Asia,Afghanistan,7/27/2020,36349,,,39835428
Asia,Afghanistan,7/28/2020,36454,,,39835428
Asia,Afghanistan,7/29/2020,36557,,,39835428
Asia,Afghanistan,7/30/2020,36628,,,39835428
Asia,Afghanistan,7/31/2020,36628,,,39835428
Asia,Afghanistan,8/1/2020,36796,,,39835428
Asia,Afghanistan,8/2/2020,36796,,,39835428
Asia,Afghanistan,8/3/2020,36796,,,39835428
Asia,Afghanistan,8/4/2020,36833,,,39835428
Asia,Afghanistan,8/5/2020,36915,,,39835428
Asia,Afghanistan,8/6/2020,36982,,,39835428
Asia,Afghanistan,8/7/2020,37023,,,39835428
Asia,Afghanistan,8/8/2020,37101,,,39835428
Asia,Afghanistan,8/9/2020,37140,,,39835428
Asia,Afghanistan,8/10/2020,37140,,,39835428
Asia,Afghanistan,8/11/2020,37355,,,39835428
Asia,Afghanistan,8/12/2020,37431,,,39835428
Asia,Afghanistan,8/13/2020,37510,,,39835428
Asia,Afghanistan,8/14/2020,37517,,,39835428
Asia,Afghanistan,8/15/2020,37637,,,39835428
Asia,Afghanistan,8/16/2020,37682,,,39835428
Asia,Afghanistan,8/17/2020,37682,,,39835428
Asia,Afghanistan,8/18/2020,37685,,,39835428
